epochtime,accelX,accelY,accelZ,magnX,magnY,magnZ,gyroX,gyroY,gyroZ
1398383829,-1300,10,-11,-227,2878,-711,-95,-175,-221
1398383829,-1292,-1,-5,-229,2869,-710,-98,-182,-241
1398383829,-1284,-1,-23,-232,2884,-714,-98,-168,-234
1398383829,-1284,-1,-23,-232,2876,-707,-74,-173,-239
1398383829,-1304,6,-13,-227,2876,-707,-80,-189,-203
1398383829,-1311,-7,-15,-229,2876,-713,-84,-147,-231
1398383829,-1309,2,-16,-229,2880,-712,-88,-164,-213
1398383829,-1290,4,-9,-234,2864,-707,-91,-169,-215
1398383829,-1290,0,-23,-232,2873,-708,-94,-202,-211
1398383829,-1317,0,-23,-232,2879,-711,-89,-207,-200
1398383829,-1291,9,-2,-230,2870,-713,-90,-172,-218
1398383829,-1300,5,-14,-227,2870,-713,-101,-171,-229
1398383829,-1310,-5,-29,-227,2871,-709,-92,-189,-205
1398383829,-1298,-3,-12,-229,2874,-708,-82,-203,-183
1398383829,-1304,11,-6,-227,2876,-711,-78,-180,-219
1398383829,-1293,10,-9,-231,2883,-712,-83,-135,-214
1398383829,-1293,10,-9,-228,2878,-712,-90,-149,-234
1398383829,-1298,6,-9,-228,2878,-712,-93,-154,-229
1398383829,-1307,13,-22,-232,2872,-715,-104,-141,-257
1398383829,-1300,6,-11,-236,2873,-722,-107,-177,-233
1398383829,-1301,-2,10,-227,2876,-713,-91,-187,-231
1398383829,-1301,10,-21,-224,2872,-706,-85,-193,-218
1398383829,-1299,10,-21,-224,2880,-715,-82,-168,-213
1398383829,-1296,6,-9,-230,2880,-715,-93,-169,-229
1398383829,-1293,-7,-5,-227,2878,-705,-92,-187,-208
1398383829,-1277,44,-7,-233,2878,-711,-119,-112,-206
1398383829,-1291,1,-9,-226,2871,-712,-58,-3,-229
1398383829,-1291,1,-15,-227,2873,-715,-68,-173,-209
1398383829,-1290,2,-15,-227,2873,-708,-68,-169,-211
1398383829,-1312,16,-6,-228,2867,-708,-52,-180,-195
1398383829,-1300,26,14,-231,2874,-711,-51,-221,-183
1398383829,-1294,20,-9,-235,2873,-712,-47,-226,-172
1398383829,-1362,-21,0,-238,2875,-705,66,-465,-170
1398383829,-1362,-21,18,-230,2873,-704,55,-1262,-237
1398383830,-1361,-33,18,-230,2873,-704,341,-1658,-222
1398383830,-1379,44,-3,-223,2876,-704,228,-2082,-242
1398383830,-1285,17,-23,-215,2873,-699,215,-2034,-230
1398383830,-1313,-112,18,-218,2872,-680,1082,-2166,-194
1398383830,-1508,-52,103,-209,2879,-664,1570,-3658,-233
1398383830,-1508,-52,103,-197,2883,-629,2246,-5512,-270
1398383830,-1842,68,67,-197,2883,-629,1970,-12734,-481
1398383830,-1934,-183,202,-162,2884,-587,2791,-16135,-615
1398383830,-1719,171,11,-122,2879,-513,2562,-20751,468
1398383830,-413,-698,-383,-96,2880,-439,4526,-15884,613
1398383830,-688,315,-495,-87,2882,-375,2956,-10221,464
1398383830,-688,315,-495,-87,2880,-340,2323,-6107,380
1398383830,-970,-5,-543,-74,2880,-340,1740,-4653,214
1398383830,-895,410,-377,-77,2880,-326,-200,-2177,-238
1398383830,-1087,64,-429,-74,2887,-315,-505,-1570,-456
1398383830,-1046,6,-444,-73,2883,-325,-771,418,-480
1398383830,-790,-33,-466,-72,2881,-332,-312,3731,-200
1398383830,-911,-33,-466,-72,2879,-354,70,5875,-199
1398383830,-1137,-10,-395,-84,2879,-354,-282,6804,-132
1398383830,-1359,-12,-286,-93,2881,-376,-156,6204,-102
1398383830,-1612,51,-234,-106,2888,-381,-80,2782,-194
1398383830,-1652,15,-210,-102,2896,-393,-91,-63,-144
1398383830,-1652,-189,-212,-103,2884,-397,316,1178,70
1398383830,-1006,-189,-212,-103,2884,-401,1190,2748,342
1398383830,-1295,-56,-94,-116,2897,-401,1363,2311,305
1398383830,-1429,23,-320,-124,2898,-388,1367,837,352
1398383830,-1362,109,-255,-131,2897,-383,728,859,1180
1398383830,-1295,-98,-173,-158,2906,-380,-33,2597,4523
1398383830,-1295,-98,-132,-217,2921,-405,-773,4818,7351
1398383830,-1297,-114,-132,-217,2921,-418,-1028,5970,5769
1398383830,-1490,-148,-99,-261,2931,-418,-716,7544,-327
1398383830,-1518,-39,-146,-264,2928,-436,-186,8338,-2541
1398383830,-1535,33,-133,-243,2917,-450,961,8851,-3490
1398383830,-1520,-60,-66,-220,2913,-461,1118,8350,-3728
1398383830,-1520,-60,190,-200,2900,-471,1612,7575,-3798
1398383830,-1501,14,21,-200,2900,-471,1801,7486,-4651
1398383830,-1426,36,7,-169,2889,-479,2781,7900,-4170
1398383830,-1380,99,-11,-149,2878,-470,4108,8076,-2326
1398383830,-1252,35,124,-127,2871,-463,4704,7426,-2219
1398383830,-1252,17,118,-107,2865,-437,5001,6030,-2620
1398383830,-1196,17,118,-107,2859,-430,4665,5267,-2584
1398383830,-1151,-20,120,-83,2859,-430,3816,4842,-2531
